date,closing,adjusted,evolution,quantity,volume
01/12/2022,41000,41000,174,16537,67815783
30/11/2022,40300,40300,-147,62881,2538545515
29/11/2022,40900,40900,-024,19363,792759465
28/11/2022,41000,41000,001,26033,10676550
25/11/2022,40995,40995,172,6136,2509855
24/11/2022,40300,40300,-049,6697,27053522
23/11/2022,40500,40500,037,5775,233706585
22/11/2022,40350,40350,062,6579,26531333
21/11/2022,40100,40100,-099,30762,12368395
17/11/2022,40500,40500,385,44065,1763801525
16/11/2022,39000,39000,180,25203,977397745
15/11/2022,38310,38310,135,37844,143990724
14/11/2022,37800,37800,134,9657,36266566
11/11/2022,37300,37300,027,150153,557649328
10/11/2022,37200,37200,-388,58537,222137339
09/11/2022,38700,38700,-021,46051,17886787
08/11/2022,38780,38780,-055,20028,77962931
07/11/2022,38995,38995,050,29622,1155273035
04/11/2022,38800,38800,-051,29869,1163840895
03/11/2022,39000,39000,000,2903,11323672
02/11/2022,39000,39000,000,4411,17212059
01/11/2022,39000,39000,130,19185,748127675
31/10/2022,38500,38500,-131,28062,108902429
28/10/2022,39010,39010,003,13169,51362458
27/10/2022,39000,39000,386,10229,39411779
26/10/2022,37550,37550,-494,38644,145937794
25/10/2022,39500,39500,127,27611,1089509295
24/10/2022,39005,39005,-200,3432,13426356
21/10/2022,39800,39800,-025,12569,50125347
20/10/2022,39900,39900,-221,34849,139396444
19/10/2022,40800,40800,049,31888,1299990415
18/10/2022,40600,40600,-147,3071,12538378
17/10/2022,41205,41205,024,12979,533975055
14/10/2022,41105,41105,-190,62183,2567676255
13/10/2022,41900,41900,-118,13952,5847391
12/10/2022,42400,42400,-117,24404,103613171
11/10/2022,42900,42900,166,21851,929731775
07/10/2022,42200,42200,024,11875,50089874
06/10/2022,42100,42100,024,10388,4373580
05/10/2022,42000,42000,107,8855,372053875
04/10/2022,41555,41555,008,67599,2805944145
03/10/2022,41520,41520,-231,2014,841014
30/09/2022,42500,42500,095,187113,7939410475
29/09/2022,42100,42100,-094,47621,20020312
28/09/2022,42500,42500,-297,111012,472093246
27/09/2022,43800,43800,-057,354197,1560526168
26/09/2022,44050,44050,000,51924,228777009
23/09/2022,44050,44050,-033,37179,163768213
22/09/2022,44195,44195,067,34561,1522621685
21/09/2022,43900,43900,-018,3203,13944415
20/09/2022,43980,43980,041,8811,38586424
19/09/2022,43800,43800,-068,7039,3083083
16/09/2022,44100,44100,068,30502,13366277
15/09/2022,43800,43800,000,419,183324
14/09/2022,43800,43800,000,7622,3337886
13/09/2022,43800,43800,069,42701,18660962
12/09/2022,43500,43500,-046,1600,69498435
09/09/2022,43700,43700,102,103209,4508425705
08/09/2022,43260,43260,-067,5175,22507338
07/09/2022,43550,43550,011,5194,225925495
06/09/2022,43500,43500,067,2941,12757467
05/09/2022,43210,43210,-067,24936,107501572
02/09/2022,43500,43500,069,1910,8400852
01/09/2022,43200,43200,-103,830,35859625
31/08/2022,43650,43650,031,12502,54549596
30/08/2022,43515,43515,-110,14575,64093686
29/08/2022,44000,44000,000,3614,15901483
26/08/2022,44000,44000,000,15159,66687675
25/08/2022,44000,44000,023,1672,72892405
24/08/2022,43900,43900,-013,2863,12396649
23/08/2022,43955,43955,024,21981,96549893
22/08/2022,43850,43850,-146,12273,54144925
19/08/2022,44500,44500,034,11034,4889606
18/08/2022,44350,44350,-100,14888,663823705
17/08/2022,44800,44800,-047,19085,85883897
16/08/2022,45010,45010,047,14134,63603397
15/08/2022,44800,44800,043,11135,498321515
12/08/2022,44610,44610,116,17161,764918385
11/08/2022,44100,44100,068,19513,861301285
10/08/2022,43800,43800,046,30483,133412907
09/08/2022,43600,43600,058,28253,123043499
08/08/2022,43350,43350,076,764,329735
05/08/2022,43025,43025,029,25277,10847951
04/08/2022,42900,42900,046,28771,12341386
03/08/2022,42705,42705,-045,19727,84558618
02/08/2022,42900,42900,023,18679,80091505
01/08/2022,42800,42800,-047,24439,1050707675
29/07/2022,43000,43000,-092,16090,69183606
28/07/2022,43400,43400,181,238,102055
27/07/2022,42630,42630,-166,289,12347415
26/07/2022,43350,43350,176,43854,189879515
25/07/2022,42600,42600,-207,9880,421602545
22/07/2022,43500,43500,000,10235,44510507
21/07/2022,43500,43500,-046,8038,349662365
20/07/2022,43700,43700,041,15342,66991928
19/07/2022,43520,43520,115,6074,26390863
18/07/2022,43025,43025,-086,9372,4026815
15/07/2022,43400,43400,164,11959,514299915
14/07/2022,42700,42700,-045,4841,20779732
13/07/2022,42895,42895,088,996,4233883
12/07/2022,42520,42520,002,24539,104319828
08/07/2022,42510,42510,005,51105,217246184
07/07/2022,42490,42490,239,19894,8440233
06/07/2022,41500,41500,122,49234,204324076
05/07/2022,41000,41000,-120,39503,16279685
04/07/2022,43000,43000,118,3238,139702575
01/07/2022,42500,42500,-082,30595,130346988
30/06/2022,42850,42850,-149,147229,631645846
29/06/2022,43500,43500,284,16628,7102291
28/06/2022,42300,42300,-048,163911,7028081085
27/06/2022,42505,42505,-229,168203,731437267
24/06/2022,43500,43500,235,7129,310109165
23/06/2022,42500,42500,-093,72054,307114835
22/06/2022,42900,42900,-138,231167,995010641
21/06/2022,43500,43500,045,104252,4515572885
20/06/2022,43305,43305,-045,2253,9765107
17/06/2022,43500,43500,-118,43951,191977758
16/06/2022,44020,44020,-195,21213,94116444
15/06/2022,44895,44895,321,108987,48734565
14/06/2022,43500,43500,-268,32711,14378692
13/06/2022,44700,44700,-175,7476,33508468
10/06/2022,45495,45495,064,11412,514031775
09/06/2022,45205,45205,-076,9400,426879205
08/06/2022,45550,45550,-098,6550,29744135
07/06/2022,46000,46000,110,84379,387582039
06/06/2022,45500,45500,089,40515,183180388
03/06/2022,45100,45100,045,126093,56778846
02/06/2022,44900,44900,201,19795,88167896
01/06/2022,44015,44015,084,5176,22918309
31/05/2022,43650,43650,034,29821,1298241795
30/05/2022,43500,43500,-023,4492,19549363
27/05/2022,43600,43600,-091,45920,2003628805
26/05/2022,44000,44000,080,567,2495042
25/05/2022,43650,43650,-080,13984,61257109
24/05/2022,44000,44000,-138,19880,88471887
23/05/2022,44615,44615,-086,7214,32286402
20/05/2022,45000,45000,000,103248,464537728
19/05/2022,45000,45000,090,46670,2098548855
18/05/2022,44600,44600,-089,3483,155437565
17/05/2022,45000,45000,045,3082,138694385
16/05/2022,44800,44800,067,13855,6203364
13/05/2022,44500,44500,114,16188,72029695
12/05/2022,44000,44000,-135,22682,1006714685
11/05/2022,44600,44600,022,13485,6042414
10/05/2022,44500,44500,-220,24091,107832074
09/05/2022,45500,45500,-162,26402,120755201
06/05/2022,46250,46250,-054,1225,5663804
05/05/2022,46500,46500,040,10882,50597919
04/05/2022,46315,46315,-041,726,33634445
29/04/2022,46505,46505,066,16101,74871959
28/04/2022,46200,46200,-032,1629,75181605
27/04/2022,46350,46350,030,1308,604740
26/04/2022,46210,46210,-126,32088,148848615
25/04/2022,46800,46800,000,10017,467657205
22/04/2022,46800,46800,041,10836,50638069
21/04/2022,46610,46610,-062,3692,172075575
20/04/2022,46900,46900,000,9309,434390165
19/04/2022,46900,46900,-011,27205,127408695
18/04/2022,46950,46950,-011,3224,150176815
15/04/2022,47000,47000,127,143767,674221588
14/04/2022,46410,46410,002,10383,483167515
13/04/2022,46400,46400,-024,5002,232864195
12/04/2022,46510,46510,-019,10009,46524311
11/04/2022,46600,46600,-043,649,3024286
08/04/2022,46800,46800,-021,55793,2606275325
07/04/2022,46900,46900,087,27042,125646652
06/04/2022,46495,46495,010,1187,54774545
05/04/2022,46450,46450,054,39329,1819341695
04/04/2022,46200,46200,043,39232,181005035
01/04/2022,46000,46000,000,22504,1035445765
31/03/2022,46000,46000,-001,3117,14332207
30/03/2022,46005,46005,111,43619,19976886
29/03/2022,45500,45500,165,19444,877803875
28/03/2022,44760,44760,049,24484,109306117
25/03/2022,44540,44540,072,26858,119665841
24/03/2022,44220,44220,-041,34896,1546791745
23/03/2022,44400,44400,-327,18278,815222085
22/03/2022,45900,45900,-043,7365,33905073
21/03/2022,46100,46100,-065,5496,25329145
18/03/2022,46400,46400,-292,47743,223374464
17/03/2022,47795,47795,413,15547,71860697
16/03/2022,45900,45900,155,16583,76035895
15/03/2022,45200,45200,000,17211,781200135
14/03/2022,45200,45200,044,1047,47315475
11/03/2022,45000,45000,000,42205,1920640255
10/03/2022,45000,45000,-217,25557,11571381
09/03/2022,46000,46000,110,24871,1146201085
08/03/2022,45500,45500,436,59434,2673307295
07/03/2022,43600,43600,-418,25466,1113033935
04/03/2022,45500,45500,-056,85608,389974376
03/03/2022,45755,45755,-265,40983,1878191455
02/03/2022,47000,47000,000,33615,1580516265
01/03/2022,47000,47000,-020,6318,29704108
28/02/2022,47095,47095,-043,12400,58590626
25/02/2022,47300,47300,390,6847,3187260
24/02/2022,45525,45525,-517,143807,6729911515
23/02/2022,48005,48005,043,413109,1971095131
22/02/2022,47800,47800,-109,59251,283974994
21/02/2022,48325,48325,-034,26705,1290453025
18/02/2022,48490,48490,066,14382,694554915
17/02/2022,48170,48170,023,4915,23648259
16/02/2022,48060,48060,013,13901,667382875
15/02/2022,48000,48000,-201,673830,3234584414
14/02/2022,48985,48985,-064,70323,34478082
11/02/2022,49300,49300,000,16404,809135745
10/02/2022,49300,49300,038,15073,74297071
09/02/2022,49115,49115,-079,17668,871226865
08/02/2022,49505,49505,000,7585,37543869
07/02/2022,49505,49505,-055,45826,227651395
04/02/2022,49780,49780,-004,35194,1751343525
03/02/2022,49800,49800,055,86617,4302021025
02/02/2022,49530,49530,024,45593,2254932855
01/02/2022,49410,49410,021,9360,46169769
31/01/2022,49305,49305,-017,14554,71703415
28/01/2022,49390,49390,-012,11892,586833485
27/01/2022,49450,49450,056,52320,257248643
26/01/2022,49175,49175,-009,4458,219187635
25/01/2022,49220,49220,004,50242,247384548
24/01/2022,49200,49200,-061,9908,48716568
21/01/2022,49500,49500,060,124183,61450805
20/01/2022,49205,49205,-003,12640,62194734
19/01/2022,49220,49220,-057,10377,511104895
18/01/2022,49500,49500,000,58754,291983742
17/01/2022,49500,49500,-060,36871,1825243665
14/01/2022,49800,49800,151,137083,6806204835
13/01/2022,49060,49060,-008,17055,83603197
12/01/2022,49100,49100,000,29687,145625193
10/01/2022,49100,49100,020,14000,68547508
07/01/2022,49000,49000,082,50513,2471756545
06/01/2022,48600,48600,081,187512,908818995
05/01/2022,48210,48210,031,32600,156871179
04/01/2022,48060,48060,002,21010,100968316
03/01/2022,48050,48050,-133,15261,73324192
31/12/2021,48700,48700,000,196610,9567485635
30/12/2021,48700,48700,041,31811,15380263
29/12/2021,48500,48500,041,27235,131629885
28/12/2021,48300,48300,064,6944989,331276048735
27/12/2021,47995,47995,-001,56930,27018103
24/12/2021,48000,48000,000,9354,4489909
23/12/2021,48000,48000,073,1164,5536922
22/12/2021,47650,47650,-073,11717,55832468
21/12/2021,48000,48000,041,37991,18254460
20/12/2021,47805,47805,-102,3774,18033392
17/12/2021,48300,48300,000,39863,192365625
16/12/2021,48300,48300,008,26949,130753175
15/12/2021,48260,48260,-019,18738,90318323
14/12/2021,48350,48350,029,26761,129908295
13/12/2021,48210,48210,-101,179949,877478409
10/12/2021,48700,48700,000,116646,56818997
09/12/2021,48700,48700,000,5675,2763515
08/12/2021,48700,48700,041,13345,6501249
07/12/2021,48500,48500,094,13410,6487943
06/12/2021,48050,48050,-152,45106,217779255
03/12/2021,48790,48790,039,12962,627376135
02/12/2021,48600,48600,125,26860,1288418775
01/12/2021,48000,48000,148,15818,75477103
30/11/2021,47300,47300,-021,111950,528895454
29/11/2021,47400,47400,-125,29808,140489737
26/11/2021,48000,48000,-153,43276,208088769
25/11/2021,48745,48745,-032,4362,21253116
24/11/2021,48900,48900,041,6560,32068986
23/11/2021,48700,48700,000,27541,134120853
22/11/2021,48700,48700,-006,10832,5275287
19/11/2021,48730,48730,086,12075,5871531
17/11/2021,48315,48315,043,45184,2183328695
