date,closing,adjusted,evolution,quantity,volume
01/12/2022,22985,22985,126,8611,197017655
30/11/2022,22700,22700,-130,45637,1036477135
29/11/2022,23000,23000,088,9572,2203409
28/11/2022,22800,22800,-087,3898,8958246
25/11/2022,23000,23000,000,59502,136809196
24/11/2022,23000,23000,000,888,204240
23/11/2022,23000,23000,134,6048,13899777
22/11/2022,22695,22695,002,5298,12141587
21/11/2022,22690,22690,-004,6954,15779661
17/11/2022,22700,22700,316,29863,6715967
16/11/2022,22005,22005,002,18464,40949543
15/11/2022,22000,22000,096,23515,51750111
14/11/2022,21790,21790,376,14221,30292708
11/11/2022,21000,21000,-233,56252,118659145
10/11/2022,21500,21500,-138,65062,140227101
09/11/2022,21800,21800,-091,38309,839354395
08/11/2022,22000,22000,-045,40582,8922205
07/11/2022,22100,22100,055,15825,34694032
04/11/2022,21980,21980,-009,36847,81028902
03/11/2022,22000,22000,000,11648,25625615
02/11/2022,22000,22000,000,41200,9064050
01/11/2022,22000,22000,000,25134,5529480
31/10/2022,22000,22000,000,30990,6817800
28/10/2022,22000,22000,-090,9024,1985280
27/10/2022,22200,22200,326,9959,22101802
26/10/2022,21500,21500,-402,55071,118438551
25/10/2022,22400,22400,004,4577,1027602
24/10/2022,22390,22390,000,1864,4173496
21/10/2022,22390,22390,-004,9191,205927445
20/10/2022,22400,22400,-468,48372,10873347
19/10/2022,23500,23500,000,2550,599250
18/10/2022,23500,23500,000,2559,601365
17/10/2022,23500,23500,-080,49077,11382003
14/10/2022,23690,23690,-129,32727,775607235
13/10/2022,24000,24000,000,96869,232378218
12/10/2022,24000,24000,-204,5855,140523315
11/10/2022,24500,24500,124,6685,16301038
07/10/2022,24200,24200,-082,7018,16936037
06/10/2022,24400,24400,041,10250,2491000
05/10/2022,24300,24300,000,22086,527895135
04/10/2022,24300,24300,125,1294,3141846
03/10/2022,24000,24000,-123,2577,622960
30/09/2022,24300,24300,041,264060,6373318155
29/09/2022,24200,24200,-122,184542,444543115
28/09/2022,24500,24500,-352,17907,43905625
27/09/2022,25395,25395,-076,7929,201993205
26/09/2022,25590,25590,-004,5300,1356770
23/09/2022,25600,25600,000,11457,2932967
22/09/2022,25600,25600,-076,6887,17653254
21/09/2022,25795,25795,057,10524,2700544
20/09/2022,25650,25650,000,4589,11759799
19/09/2022,25650,25650,000,6776,1738056
16/09/2022,25650,25650,020,28117,72103851
15/09/2022,25600,25600,000,281,71936
14/09/2022,25600,25600,000,7471,19126867
13/09/2022,25600,25600,-031,27235,69719485
12/09/2022,25680,25680,031,5,1284
09/09/2022,25600,25600,039,7650,1958400
08/09/2022,25500,25500,-002,1841,4694437
07/09/2022,25505,25505,-037,11392,29150923
06/09/2022,25600,25600,-039,1083,277263
05/09/2022,25700,25700,-054,1917,492669
02/09/2022,25840,25840,094,13735,35222773
01/09/2022,25600,25600,000,572,146432
31/08/2022,25600,25600,-039,9012,2307756
30/08/2022,25700,25700,-077,2617,673164
29/08/2022,25900,25900,039,1555,400780
26/08/2022,25800,25800,000,25214,6508172
25/08/2022,25800,25800,000,20527,529613485
24/08/2022,25800,25800,-039,16254,4192278
23/08/2022,25900,25900,000,10001,2590259
22/08/2022,25900,25900,-035,6294,16276335
19/08/2022,25990,25990,074,13612,35245395
18/08/2022,25800,25800,-077,5162,1341986
17/08/2022,26000,26000,000,6035,156825475
16/08/2022,26000,26000,019,23094,60133608
15/08/2022,25950,25950,-017,17600,4567150
12/08/2022,25995,25995,076,24115,62553545
11/08/2022,25800,25800,118,20280,5203900
10/08/2022,25500,25500,000,2816,71809475
09/08/2022,25500,25500,200,7632,194515905
08/08/2022,25000,25000,-196,165,41575
05/08/2022,25500,25500,200,7919,2019345
04/08/2022,25000,25000,000,5170,12926835
03/08/2022,25000,25000,-004,1746,436641
02/08/2022,25010,25010,004,908,2270864
01/08/2022,25000,25000,000,4715,11787705
29/07/2022,25000,25000,000,546,1365242
28/07/2022,25000,25000,-079,13538,338455345
27/07/2022,25200,25200,020,2501,630248
26/07/2022,25150,25150,137,19194,4827291
25/07/2022,24810,24810,-155,2578,64394395
22/07/2022,25200,25200,-004,21070,530993735
21/07/2022,25210,25210,002,1545,3894796
20/07/2022,25205,25205,002,7164,180639155
19/07/2022,25200,25200,040,42,10554
18/07/2022,25100,25100,000,553,138803
15/07/2022,25100,25100,121,16140,4041951
14/07/2022,24800,24800,000,1211,30416955
13/07/2022,24800,24800,020,705,1754377
12/07/2022,25600,25600,039,215991,554080129
08/07/2022,25500,25500,079,127201,321891483
07/07/2022,25300,25300,040,116372,292357685
06/07/2022,25200,25200,244,13310,33289254
05/07/2022,24600,24600,000,23466,581346715
04/07/2022,24600,24600,041,54814,134505634
01/07/2022,24500,24500,-388,41820,10247480
30/06/2022,25490,25490,035,80007,203937845
