date,closing,adjusted,evolution,quantity,volume
01/12/2022,43000,43000,000,0,0
30/11/2022,43000,43000,000,0,0
29/11/2022,43000,43000,-046,43,18490
28/11/2022,43200,43200,-226,143,62762
25/11/2022,44200,44200,-178,24,10624
24/11/2022,45000,45000,169,10,445395
23/11/2022,44250,44250,000,0,0
22/11/2022,44250,44250,-274,8,3540
21/11/2022,45495,45495,000,0,0
17/11/2022,45495,45495,459,1,45495
16/11/2022,43500,43500,093,23,10005
15/11/2022,43100,43100,-205,183,79070
14/11/2022,44000,44000,230,4,1760
11/11/2022,43010,43010,-021,24,103325
10/11/2022,43100,43100,-590,490,215039
09/11/2022,45800,45800,-255,25,11500
08/11/2022,47000,47000,444,5,2350
07/11/2022,45000,45000,000,0,0
04/11/2022,45000,45000,000,13,5857
03/11/2022,45000,45000,-343,52,23420
02/11/2022,46600,46600,-586,165179,865942938
01/11/2022,49500,49500,314,937,450171
31/10/2022,47995,47995,-145,4,19198
28/10/2022,48700,48700,587,666,324288
27/10/2022,46000,46000,575,20,9200
26/10/2022,43500,43500,-114,12,5220
25/10/2022,44000,44000,023,10,4400
24/10/2022,43900,43900,000,0,0
21/10/2022,43900,43900,-352,37,16350
20/10/2022,45500,45500,111,754,3428848
19/10/2022,45000,45000,-110,518,2330275
18/10/2022,45500,45500,341,1,455
17/10/2022,44000,44000,-112,222,9588625
14/10/2022,44500,44500,-111,169,75329
13/10/2022,45000,45000,-343,218,98655
12/10/2022,46600,46600,-085,1,466
11/10/2022,47000,47000,000,0,0
07/10/2022,47000,47000,108,29,13531
06/10/2022,46500,46500,000,0,0
05/10/2022,46500,46500,000,0,0
04/10/2022,46500,46500,109,5,2325
03/10/2022,46000,46000,222,10,4600
30/09/2022,45000,45000,-110,3096,1393200
29/09/2022,45500,45500,000,472,21475605
28/09/2022,45500,45500,-109,189,86285
27/09/2022,46000,46000,-115,738,3395408
26/09/2022,46535,46535,028,12,56307
23/09/2022,46405,46405,-127,59,2749775
22/09/2022,47000,47000,000,150,70500
21/09/2022,47000,47000,-288,59,27980
20/09/2022,48395,48395,264,3,145185
19/09/2022,47150,47150,000,0,0
16/09/2022,47150,47150,-074,321,1539016
15/09/2022,47500,47500,-205,324,153900
14/09/2022,48495,48495,285,1,48495
13/09/2022,47150,47150,-258,273,129066
12/09/2022,48400,48400,211,490,2333504
09/09/2022,47400,47400,191,8383,39018622
08/09/2022,46510,46510,045,6203,28841578
07/09/2022,46300,46300,-149,1055348,47509148185
06/09/2022,47000,47000,000,50,23500
05/09/2022,47000,47000,086,150,7049985
02/09/2022,46600,46600,-084,20,9320
01/09/2022,46995,46995,020,22,1024875
31/08/2022,46900,46900,-019,36,1682785
30/08/2022,46990,46990,000,0,0
29/08/2022,46990,46990,169,15,70485
26/08/2022,46210,46210,000,0,0
25/08/2022,46210,46210,-009,15,69358
24/08/2022,46250,46250,-022,165,76448
23/08/2022,46350,46350,000,0,0
22/08/2022,46350,46350,-138,62,28756
19/08/2022,47000,47000,086,2,93325
18/08/2022,46600,46600,000,367,1710168
17/08/2022,46600,46600,-084,55,2570985
16/08/2022,46995,46995,106,1,46995
15/08/2022,46500,46500,000,61,28380
12/08/2022,46500,46500,043,42,194489
11/08/2022,46300,46300,000,20,9260
10/08/2022,46300,46300,065,10,4630
09/08/2022,46000,46000,000,0,0
08/08/2022,46000,46000,000,5,2300
05/08/2022,46000,46000,000,200,92000
04/08/2022,46000,46000,000,0,0
03/08/2022,46000,46000,000,3,1380
02/08/2022,46000,46000,000,427,19433495
01/08/2022,46000,46000,-295,315,147160
29/07/2022,47400,47400,-090,309,1464567
28/07/2022,47830,47830,398,65,299183
27/07/2022,46000,46000,-150,44,20240
26/07/2022,46700,46700,000,10,4649
25/07/2022,46700,46700,152,5,2335
22/07/2022,46000,46000,-043,1851,8528032
21/07/2022,46200,46200,-352,54,24948
20/07/2022,47885,47885,000,0,0
19/07/2022,47885,47885,043,1026,47325635
18/07/2022,47680,47680,000,83,395742
15/07/2022,47680,47680,-024,27,1287315
14/07/2022,47795,47795,000,0,0
13/07/2022,47795,47795,000,0,0
12/07/2022,47795,47795,000,0,0
08/07/2022,47795,47795,390,665,3061465
07/07/2022,46000,46000,222,37,17020
06/07/2022,45000,45000,-088,275,124632
05/07/2022,45400,45400,-130,43,1953775
04/07/2022,46000,46000,010,97,44620
01/07/2022,45955,45955,-599,4219,196890345
30/06/2022,48885,48885,-599,1061,51866985
29/06/2022,52000,52000,-545,158949,865439675
28/06/2022,55000,55000,536,50486,27727782
27/06/2022,52200,52200,588,7904,4125888
24/06/2022,49300,49300,-060,5916,2916084
23/06/2022,49600,49600,081,148,73233
22/06/2022,49200,49200,-257,206,10135225
21/06/2022,50500,50500,-059,8240,4199915
20/06/2022,50800,50800,583,4496,22834489
17/06/2022,48000,48000,435,860,411000
16/06/2022,46000,46000,-192,16246,73524156
15/06/2022,46900,46900,376,444,2026666
14/06/2022,46200,46200,-552,162,7499645
13/06/2022,48900,48900,449,5001,2345496
10/06/2022,46800,46800,-526,10468,489883895
09/06/2022,49400,49400,511,490,230872
08/06/2022,47000,47000,217,962,452116
07/06/2022,46000,46000,-192,1338,615485
06/06/2022,46900,46900,196,325,150965
03/06/2022,46000,46000,000,8305,382062625
02/06/2022,46000,46000,-213,845,38937115
01/06/2022,47000,47000,217,10285,473323955
31/05/2022,46000,46000,-002,100,460461
30/05/2022,46010,46010,002,101,465039
27/05/2022,46000,46000,-213,4943,229265655
26/05/2022,47000,47000,217,20307,93415974
