date,closing,adjusted,evolution,quantity,volume
01/12/2022,16800,16800,182,655,109623
30/11/2022,16500,16500,-030,3388,556309
29/11/2022,16550,16550,000,4434,735674
28/11/2022,16550,16550,000,2562,423744
25/11/2022,16550,16550,000,8820,14553665
24/11/2022,16550,16550,030,11790,1946094
23/11/2022,16500,16500,000,2596,4283968
22/11/2022,16500,16500,123,4093,67169955
21/11/2022,16300,16300,000,22176,36151708
17/11/2022,16300,16300,188,28339,4609234
16/11/2022,16000,16000,000,12838,205445025
15/11/2022,16000,16000,127,24003,382839945
14/11/2022,15800,15800,128,10046,15874405
11/11/2022,15600,15600,000,5897,920132
10/11/2022,15600,15600,-127,50071,783241825
09/11/2022,15800,15800,000,47133,742466215
08/11/2022,15800,15800,-063,25161,39745705
07/11/2022,15900,15900,-031,14301,2278434
04/11/2022,15950,15950,-031,28427,453386605
03/11/2022,16000,16000,006,25577,407995155
02/11/2022,15990,15990,-006,2774,4436662
01/11/2022,16000,16000,000,1712,2723485
31/10/2022,16000,16000,-062,19130,3061107
28/10/2022,16100,16100,094,235034,374880808
27/10/2022,15950,15950,-025,5878,9359304
26/10/2022,15990,15990,-190,2716,4351288
25/10/2022,16300,16300,062,512,83537
24/10/2022,16200,16200,-061,3052,49499195
21/10/2022,16300,16300,-058,7632,12449575
20/10/2022,16395,16395,-241,67618,109307255
19/10/2022,16800,16800,000,965,1620845
18/10/2022,16800,16800,-118,6409,10767415
17/10/2022,17000,17000,-058,8842,15030137
14/10/2022,17100,17100,-110,17270,2953553
13/10/2022,17290,17290,-120,5611,9710266
12/10/2022,17500,17500,-113,3088,5403375
11/10/2022,17700,17700,000,3154,55828605
07/10/2022,17700,17700,-045,28756,5089707
06/10/2022,17780,17780,277,75015,131276558
05/10/2022,17300,17300,176,20554,355523965
04/10/2022,17000,17000,284,10818,1839925
03/10/2022,16530,16530,267,102,1684385
30/09/2022,16100,16100,-529,13159,212912045
29/09/2022,17000,17000,-230,8986,15443365
28/09/2022,17400,17400,-183,5045,8841155
27/09/2022,18000,17725,000,65343,117563535
26/09/2022,18000,17725,-028,975,175507
23/09/2022,18050,17774,019,12180,2198530
22/09/2022,18015,17740,-022,500,902175
21/09/2022,18055,17779,-003,2267,40931185
20/09/2022,18060,17784,006,10027,180994895
19/09/2022,18050,17774,017,25584,461773675
16/09/2022,18020,17745,011,32737,589519675
15/09/2022,18000,17725,000,59676,107401951
14/09/2022,18000,17725,000,13461,24226261
13/09/2022,18000,17725,000,13061,2350980
12/09/2022,18000,17725,000,14012,2522178
09/09/2022,18000,17725,000,10047,1808460
08/09/2022,18000,17725,000,13587,243636245
07/09/2022,18000,17725,000,17379,3128228
06/09/2022,18000,17725,000,2783,494252
05/09/2022,18000,17725,000,752,135060
02/09/2022,18000,17725,000,15002,2700358
01/09/2022,18000,17725,000,15750,28251851
31/08/2022,18000,17725,-110,11295,2033031
30/08/2022,18200,17922,111,2,364
29/08/2022,18000,17725,000,150,27000
26/08/2022,18000,17725,000,10085,1815300
25/08/2022,18000,17725,000,2019,36343105
24/08/2022,18000,17725,000,3432,61768055
23/08/2022,18000,17725,000,6,1080
22/08/2022,18000,17725,000,3054,5497231
19/08/2022,18000,17725,000,4220,759820
18/08/2022,18000,17725,000,7300,1314000
17/08/2022,18000,17725,-003,761,1369548
16/08/2022,18005,17730,-107,15761,2844910
15/08/2022,18200,17922,111,15055,27012151
12/08/2022,18000,17725,-110,9284,166519455
11/08/2022,18200,17922,111,11334,203329235
10/08/2022,18000,17725,000,686,123621
09/08/2022,18000,17725,000,1470,26314435
08/08/2022,18000,17725,000,4403,7855796
05/08/2022,18000,17725,000,1711,3079875
04/08/2022,18000,17725,000,2100,377920
03/08/2022,18000,17725,000,8620,15443601
02/08/2022,18000,17725,000,5263,939824
01/08/2022,18000,17725,000,2287,4089495
29/07/2022,18000,17725,000,130,234059
28/07/2022,18000,17725,000,7010,1261450
27/07/2022,18000,17725,000,7041,1267380
26/07/2022,18000,17725,000,10919,1965420
25/07/2022,18000,17725,000,4586,82597075
22/07/2022,18000,17725,-110,8030,14456201
21/07/2022,18200,17922,-005,7450,13559285
20/07/2022,18210,17932,005,2001,3649747
19/07/2022,18200,17922,000,2452,446269
18/07/2022,18200,17922,000,10885,1981070
15/07/2022,18200,17922,000,18005,3277185
