date,closing,adjusted,evolution,quantity,volume
01/12/2022,29700,29700,000,0,0
30/11/2022,29700,29700,-571,90,2724975
29/11/2022,31500,31500,500,1196,36057465
28/11/2022,30000,30000,221,8288,248069685
25/11/2022,29350,29350,-084,547,1614828
24/11/2022,29600,29600,196,25231,74683718
23/11/2022,29030,29030,009,2,5806
22/11/2022,29005,29005,-068,18815,55646357
21/11/2022,29205,29205,283,10702,31646615
17/11/2022,28400,28400,000,15129,429842315
16/11/2022,28400,28400,-035,6091,17327151
15/11/2022,28500,28500,-497,12381,351639995
14/11/2022,29990,29990,037,20,59974
11/11/2022,29880,29880,375,21600,6404630
10/11/2022,28800,28800,-400,1985,57641335
09/11/2022,30000,30000,-228,324,9735665
08/11/2022,30700,30700,-016,11,33775
07/11/2022,30750,30750,016,100,307385
04/11/2022,30700,30700,583,100,30700
03/11/2022,29010,29010,-330,1189,3532987
02/11/2022,30000,30000,345,3,9096
01/11/2022,29000,29000,000,0,0
31/10/2022,29000,29000,-268,5097,1487061
28/10/2022,29800,29800,279,5,1490
27/10/2022,28990,28990,172,23616,664466025
26/10/2022,28500,28500,-172,12812,3653087
25/10/2022,29000,29000,000,519,150470
24/10/2022,29000,29000,069,511,148190
21/10/2022,28800,28800,-069,1825,521174
20/10/2022,29000,29000,-236,13496,39708754
19/10/2022,29700,29700,030,1000,297000
18/10/2022,29610,29610,-097,155,45888
17/10/2022,29900,29900,-033,1106,330727
14/10/2022,30000,30000,-007,6776,20330298
13/10/2022,30020,30020,-316,413,12508765
12/10/2022,31000,31000,-219,56,17360
11/10/2022,31695,31695,062,2,6339
07/10/2022,31500,31500,500,286,8984895
06/10/2022,30000,30000,033,366,1097875
05/10/2022,29900,29900,000,0,0
04/10/2022,29900,29900,-033,80,239475
03/10/2022,30000,30000,-323,11369,341217925
30/09/2022,31000,31000,000,36240,109353931
29/09/2022,31000,31000,-102,3890,12062955
28/09/2022,31320,31320,-213,1506,4721372
27/09/2022,32000,32000,-093,2006,6419235
26/09/2022,32300,32300,000,211,68116
23/09/2022,32300,32300,000,6300,2019003
22/09/2022,32300,32300,094,6471,2071053
21/09/2022,32000,32000,-117,8101,2592320
20/09/2022,32380,32380,119,510,165100
19/09/2022,32000,32000,000,1673,535360
16/09/2022,32000,32000,000,9743,31177645
15/09/2022,32000,32000,000,0,0
14/09/2022,32000,32000,031,60,19200
13/09/2022,31900,31900,000,7300,2333193
12/09/2022,31900,31900,031,10,3190
09/09/2022,31800,31800,-059,89,283267
08/09/2022,31990,31990,000,0,0
07/09/2022,31990,31990,152,8,25589
06/09/2022,31510,31510,-153,1100,346600
05/09/2022,32000,32000,000,0,0
02/09/2022,32000,32000,323,1890,5948957
01/09/2022,31000,31000,-221,385,1194525
31/08/2022,31700,31700,226,9986,3165562
30/08/2022,31000,31000,000,0,0
29/08/2022,31000,31000,-190,649,2019474
26/08/2022,31600,31600,-030,1109,35151655
25/08/2022,31695,31695,-030,2575,81614625
24/08/2022,31790,31790,255,6,19074
23/08/2022,31000,31000,-250,35,10914
22/08/2022,31795,31795,094,2165,68414975
19/08/2022,31500,31500,000,3991,1257183
18/08/2022,31500,31500,000,60,18900
17/08/2022,31500,31500,096,10075,3173550
16/08/2022,31200,31200,-095,122,386545
15/08/2022,31500,31500,003,100,31500
12/08/2022,31490,31490,-003,15161,4701034
11/08/2022,31500,31500,032,50,15750
10/08/2022,31400,31400,000,162,5032915
09/08/2022,31400,31400,363,65,20410
08/08/2022,30300,30300,-162,1137,34467175
